Row Labels,AIR 21 B1A B3P,AIR 3227 B78W,AIR 6449 B78W,Radio 2219 B8,Radio 4402 B3,Radio 4422 B78Q,Radio 4429 B3,Radio 4499 44B1 44B3 C,Radio 4499 44B3 44B7 C,RRUS 01 B1,RRUS 01 B3,RRUS 0Z B1,RRUS 0Z B3,RRUS 12 B3,RRUW B1,RUS 01 B1,RUS 01 B3,RUS 02 B3,B1,B3,B8,B20,B1+B8,B1+B20,B8+B3,B3 + B20,B1+B8+B20,B1+B20+B3,B1+B8+B3,B20+B8+B3
0240M,,,,,,,,,,2,,,,3,1,,,,3,3,0,0,0,0,0,0,0,0,0,0
0243M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0244M,,,,,,,,,,2,,,,,,,3,3,2,6,0,0,0,0,0,0,0,0,0,0
0245M,,,,,,,,,,,,,,3,2,,,,2,3,0,0,0,0,0,0,0,0,0,0
0246M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0247M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0248M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0249M,,,,,,,1,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0250M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0251M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0252M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0253M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0254M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0255I,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0255M,,,,,,,,,,,,,,3,2,,,,2,3,0,0,0,0,0,0,0,0,0,0
0256M,,3,,,,,,,,,3,,,,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0257M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0258M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0259M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0260M,,,,,,,,,,,,,,,,3,3,,3,3,0,0,0,0,0,0,0,0,0,0
0261M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0262M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0263M,,,,,,,3,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0264M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0265M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0266M,,,,,,,1,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0266MU,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0267M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0268M,,,,,,,3,,,2,,,,,1,,,,3,0,0,0,0,0,0,0,0,0,0,0
0269M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0270M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0272M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0273M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0274U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0278M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0279M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0280M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0281M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0282M,,3,,,,,,,,,,,3,,,2,,,2,3,0,0,0,0,0,0,0,0,0,0
0283M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0285M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0286M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0287M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0290M,3,,,,,,,,,,6,,,,,,,,0,6,0,0,0,0,0,0,0,0,0,0
0291M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0292M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0293M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0295M,3,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0296M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0297M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0298M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0299M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0300M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0301M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0302M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0303M,2,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0304M,,,,,,,,,3,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
